IDCOT;IMMOSIS;TYPE_DOSSIER;OCCUPANT;DIT;REGION;DATE_DEBUT_COT;DATE_FIN_COT;FRAIS_DOSSIER;REDEVANCE;EN_SITE;UT;PROCESS;PHASE_ACTUELLE;REINT_PLATEFORME;ANCIENNE_NUM;NUM_AFFAIRE;COMMUNE;LIGNE;PK;PARCELLE_FERROVIERE;TYPE_RESEAU;DSP_CONCESSION;ID_COT;GEO
202103-SR-51-00316;465225;Backlog, Creation;Syndicat intercommunal de la Marne;DIT Grand  Est ;Grand Est;20/10/2021;20/10/2041;1 000,00 €;128,84 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;Connantre;010 000;039+147 (PN 55);YS 87;Electricité ?;No;316;
202103-SR-51-00322;497257;Backlog, Creation;ENEDIS;DIT Grand Est;Grand Est;11/01/2022;11/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;2020-18;;SÉZANNE;010000-1;PK 052+400;ZE 23;Electricité ?;No;322;
202103-SR-57-00325;564523;Backlog, Creation;La Horgne du Sablon;DIT Grand Est;Grand Est;01/03/2021;28/02/2041;1 000,00 €;119,45 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;MONTIGNY-LES-METZ;099000-1;PK 002+800 à 003+300;43 0365;Eau ??;No;325;
202103-SR-34-00340;521604;Backlog, Creation;Agglomération Hérault Méditerranée;DIT Grand Sud;Occitanie ;20/06/2022;20/06/2042;1 000,00 €;301,02 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;PÉZENAS;732000-2;PK 467+100 ;BM 85;Eau ??;No;340;
202103-SR-37-00344;500077;Backlog, Creation;ENEDIS;DIT OUEST Centre Val de Loire;Centre Val de Loire;11/01/2022;11/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;;DA28/030617;VILLIERS-AU-BOUIN;500000-1;PK 232+800 (PN 147);A 558;Electricité ?;No;344;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.783475414147688,49.737653349446475],[2.784647002848942,49.73753131221207],[2.785415187903709,49.739084489960874],[2.784059062763845,49.739189882367526],[2.783475414147688,49.737653349446475]]]},""properties"":null}]}"
202103-SR-34-00348;514668;Backlog, Creation;ENEDIS;DIT Grand Sud ;Occitanie;11/03/2022;11/03/2042;38,11 €;689,28 €;Oui;006260L;Réseau;COT Active;Réintégré Plateforme;615;;VIAS;732000-1;PK 449+055;CY 194;Eau ??;No;348;
202103-PO-72-00353;566184;Backlog, Creation;Orange;DIT Ouest Bretagne et Pays de la Loire;Pays de Loire;28/10/2022;27/10/2042;1 000,00 €;63,82 €;Non;;POC;COT Active;Réintégré Plateforme;;;CHAMPFLEUR;430000-1;PK 049+050 (PN 52);ZE 43 et ZD 129;Télécom ??;No;353;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.081548720532735,46.326543956669724],[6.080733328992208,46.32631872964757],[6.0813598932800215,46.325234070114305],[6.08244135982386,46.32561933446763],[6.081548720532735,46.326543956669724]]]},""properties"":null}]}"
202103-SR-93-00360;???;Backlog, Creation;YGEO;DIT Ile de France;Ile de France;29/10/2021;29/10/2041;1 000,00 €;4 574,16 €;Oui;000677J;Réseau;COT Active;Réintégré Plateforme;17-A227;;ROSNY-SOUS-BOIS;001 000;13+000;BD n°180;Gaz ?;No;360;
202103-SR-32-00365;500771;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;11/01/2022;11/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A508;;SÉGOUFIELLE;648 000;PK 037+045;AK 18;Electricité ?;No;365;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.346345916357677,46.900578322675955],[6.346294418075558,46.89953735981217],[6.347873702547076,46.899974273380025],[6.347869411405554,46.900918463862126],[6.346345916357677,46.900578322675955]]]},""properties"":null}]}"
202103-SR-31-00369;563982;Backlog, Creation;Syndicat Départemental d’Energie de la Haute Garonne;DIT Grand Sud;Occitanie;22/11/2021;22/11/2041;1 000,00 €;1,11 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A551;;MONTASTRUC-LA-CONSEILLÈRE;718000-1;PK 379+139 (PN 59);C 565;Electricité ?;No;369;
202103-SR-82-00370;???;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;23/01/2023;22/01/2043;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A021;;MONTAUBAN;640000-1;PK 210+432;HR 298;Electricité ?;No;370;
202109-SR-26-00377;500342;Création Plateforme;Syndicat Irrigation Drômois (SIID);DIT AURA BFC;Auvergne Rhône-Alpes;02/11/2022;01/11/2042;1 604,41 €;72,71 €;Non;;Réseau;COT Active;;;;Crest;912000;014+700;ZR 2;Eau ??;No;377;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[4.986184765488764,44.733324098781935],[4.985991646369668,44.732173216174516],[4.986839224725694,44.732096997974736],[4.987043072684737,44.73323263875022],[4.986184765488764,44.733324098781935]]]},""properties"":null}]}"
202103-SR-31-00378;502329;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;12/01/2022;12/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A538;;MIREMONT;672 000;PK entre 029+300 et 029+400;0C 208 - 0F 133;Electricité ?;No;378;
202103-SR-31-00383;???;Backlog, Creation;TEREGA;DIT Grand Sud;Occitanie;04/11/2021;04/11/2041;1 000,00 €;0,77 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A181;;Chaum;668 000;122+707;A 1372, A 1373 et A 1374;Gaz ?;No;383;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.0952918454840983,48.956929734741976],[-0.09530257432015786,48.95631542135385],[-0.09449362014674988,48.95631964834945],[-0.09449791161569009,48.95694382440908],[-0.0952918454840983,48.956929734741976]]]},""properties"":null}]}"
202103-SR-31-00385;;Backlog, Creation;RTE;DIT Grand Sud;Occitanie;13/03/2023;12/03/2043;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;19-A158;;CASTELNAU-D'ESTRÉTEFONDS;640 000;PK 234+285;0B 103;Electricité ?;No;385;
202103-SR-65-00387;;Backlog, Creation;RTE;DIT Grand Sud;Occitanie;10/03/2023;09/03/2043;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A019;;LANNEMEZAN;650000;117+723;0D 388;Electricité ?;No;387;
202103-SR-09-00388;594182;Backlog, Creation;TEREGA;DIT Grand Sud;Occitanie;26/02/2021;25/02/2041;1 000,00 €;11,10 €;Oui;003195V;Réseau;COT Active;;19-A050;;PAMIERS;672000;63+664;AK 065;Gaz ?;No;388;
202103-SR-82-00389;502450;Backlog, Creation;Montarbier Energies;DIT Grand Sud;Occitanie;17/11/2021;17/11/2041;1 000,00 €;0,00 €;Oui;004887D;Réseau;COT Active;Réintégré Plateforme;17-A262;;MONTBARTIER;64000-1;PK 218+316 (PN 175);0D 576, 0D 0717, OD 1589 et 0C 0043;Electricité ?, Télécom ??;No;389;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.345464322179338,45.654702643999144],[6.345681341969353,45.65456553687872],[6.345998405734223,45.65444142848136],[6.346246925929603,45.654348582488666],[6.346252509548694,45.654346111115075],[6.346257513897197,45.6543430937821],[6.346343344585675,45.65428309935416],[6.346350509405445,45.654276564559666],[6.3464320482975625,45.65417757339554],[6.346433887078897,45.654175091751426],[6.346564637411591,45.653977565524656],[6.346619315396436,45.653929791257355],[6.346655584038684,45.653925317420544],[6.346704095800583,45.65395244492939],[6.34670834922477,45.65395455254682],[6.3471203367913915,45.654134536693675],[6.347127799425522,45.65413715692358],[6.34713582702984,45.654138766193284],[6.347144142087926,45.654139308870015],[6.347217098042165,45.654139308870015],[6.347225212661107,45.65413879225733],[6.347233060228728,45.65413725942091],[6.347240382482338,45.65413476080616],[6.347246938447281,45.65413137864215],[6.347324186197877,45.65408338285485],[6.3473292736308435,45.65407965660381],[6.347491223963251,45.65393964420372],[6.3478976834635095,45.653640578573714],[6.347904925021008,45.65363349898976],[6.348003630443724,45.65350150955976],[6.348007519305669,45.65349423716867],[6.348049987133913,45.65336956044979],[6.348259665117392,45.65292687480519],[6.348259771515575,45.652926647265986],[6.3487258724362485,45.65191683194803],[6.34872774170075,45.65191081739039],[6.348727896427478,45.65190466348625],[6.3487263306703685,45.651898606726746],[6.348723104600591,45.65189287986976],[6.348718342194197,45.651887702995424],[6.348712226467794,45.651883275048164],[6.348704992445318,45.651879766191826],[6.348696918126194,45.65187731126986],[6.348688313801979,45.6518760046238],[6.348679510132029,45.65187589646729],[6.348670845436441,45.65187699095682],[6.348662652694608,45.651879246031655],[6.3486552467490025,45.65188257503041],[6.348648912205963,45.65188685002141],[6.3486438924984245,45.65189190671882],[6.348640380530934,45.65189755079655],[6.348174332188881,45.652907252550676],[6.34796410075619,45.65335110682372],[6.347963045971425,45.653353702739736],[6.347921426887072,45.653475887760266],[6.347828226110968,45.65360051641201],[6.347424860312034,45.65389730597025],[6.34742249639375,45.653899190550874],[6.347261742283657,45.65403816887164],[6.347200021102429,45.65407651768194],[6.347157023752656,45.65407651768194],[6.3467581741786,45.65390227293079],[6.346695840225668,45.65386741609552],[6.346687817847776,45.65386383315496],[6.346678895334595,45.653861512558734],[6.346669473531183,45.653860558560126],[6.346659975713272,45.65386101401768],[6.346587019759034,45.65387001334531],[6.346579212436358,45.65387149345116],[6.346571911546991,45.65387392841586],[6.346565353905545,45.65387723925787],[6.346559752218334,45.65388131858518],[6.346491087733037,45.65394131344354],[6.346485397222853,45.653947742547246],[6.346353199696132,45.65414745517131],[6.346275623437937,45.654241635609225],[6.3461987049578585,45.65429540057332],[6.345955672254336,45.654386196552394],[6.345954898546624,45.6543864924688],[6.345633033464837,45.65451248036908],[6.345624861632316,45.65451658163181],[6.345401701973243,45.654657567870544],[6.345397264019241,45.654660802879334],[6.344998151186858,45.65499676860489],[6.344993217315501,45.6550018661309],[6.344989801008843,45.65500753850972],[6.344988033553633,45.65501356775488],[6.344987982872182,45.65501972216575],[6.344989650912149,45.655025765231784],[6.344992973571696,45.65503146472142],[6.3449978231628785,45.65503660160658],[6.345004013318628,45.65504097847992],[6.345011306154729,45.65504442714075],[6.34501942141158,45.655046815059166],[6.345028047224414,45.65504805046896],[6.345036852108079,45.655048085894094],[6.345045497695835,45.655046919973245],[6.34505365174259,45.65504459751196],[6.345061000892903,45.65504120776103],[6.345067262723047,45.65503688098647],[6.345464322179338,45.654702643999144]]]},""properties"":null}]}"
202103-SR-82-00390;???;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;13/01/2023;12/01/2043;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A730;;MONTAUBAN;590000-2;PK 659+000 à 658+900;DI 464;Electricité ?;No;390;
202103-PO-12-00392;593726;Backlog, Creation;Alliance Très Haut Débit;DIT Grand Sud;Occitanie;21/12/2022;20/12/2042;1 000,00 €;67,06 €;Non;;POC;COT Active;Réintégré Plateforme;20-A011T;;GAILLAC-D'AVEYRON;725000-1;595+186 (PN 4);ZR 0004;Télécom ??;Yes;392;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[1.2909445837958626,43.418428256432975],[1.2907514647467904,43.41818823374524],[1.2915926054283773,43.417935741301335],[1.2918050365788076,43.418386174618746],[1.2909445837958626,43.418428256432975]]]},""properties"":null}]}"
202103-SR-12-00395;500629;Backlog, Creation;S,M,A,E,P de MONTBAZENS - RIGNAC;DIT Grand Sud ;Occitanie;07/12/2021;07/12/2041;1 000,00 €;311,25 €;Oui;003258X;Réseau;COT Active;Réintégré Plateforme;17-A172;;BOUILLAC;701000-1;PK 250+913;AH 479;Eau ??;No;395;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[0.21985007832336126,49.60581614812128],[0.21917201575342915,49.605337796819214],[0.22020627581150623,49.60479269354104],[0.22099591788355613,49.605426792951675],[0.21985007832336126,49.60581614812128]]]},""properties"":null}]}"
202103-SR-31-00399;563893;Backlog, Creation;Syndicat Départemental d’Energie de la Haute Garonne;DIT Grand Sud;Occitanie;22/11/2021;22/11/2041;1 000,00 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A882;;HUOS;650000-1;PK 101+900 et 100+800 (PN 110);A 1204;Electricité ?;No;399;
202103-SR-09-00400;???;Backlog, Creation;TEREGA;DIT Grand Sud;Occitanie;05/11/2020;04/11/2040;1 000,00 €;0,85 €;Non;;Réseau;COT Active;;19-A049;;Lissac;672000;43+285;ZD 008;Gaz ?;No;400;
202103-SR-25-00405;;Backlog, Creation;Société Française du Pipeline du Jura;;;23/10/2022;22/10/2042;1 000,00 €;59,61 €;;;Réseau;COT Active;Réintégré Plateforme;21239-00083;;FLANGEBOUCHE;872000-1   ;PK 455+238 (PN 36);D 154 et D 157;Gaz ?;No;405;
202103-SR-22-00437;592717;Backlog, Creation;Commune de Callac;DIT Ouest Bretagne et Pays de la Loire;Bretagne;03/01/2023;02/01/2043;1 000,00 €;1 938,21 €;Oui;002439X;Réseau;COT Active;Réintégré Plateforme;18-A246;;CALLAC (COTES D'ARMOR;485 000;Entre 537+827 et 537+927;AC 416;Eau ??;No;437;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[0.23060845211148262,46.680669133655556],[0.23019002750515938,46.68015756490303],[0.23202465847134587,46.67973800130369],[0.23260401561856267,46.68029005799437],[0.23071037605404854,46.680794264843314],[0.23060845211148262,46.680669133655556]]]},""properties"":null}]}"
202103-SR-69-00442;???;Création;;DIT AURA & BFC;Auvergne Rhône-Alpes;25/07/2022;24/07/2022;1 604,41 €;187,50 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;IRIGNY;750000;548+300;BA 22;Eau ??;Yes;442;
202103-SR-40-00443;500069;Backlog, Creation;ENEDIS;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;11/01/2022;11/01/2042;38,11 €;0,00 €;Oui;004150E;Réseau;COT Active;Réintégré Plateforme;20IAQ-A006;;Azurjanx;652 000;113+000;0D 156;Electricité ?;No;443;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.541391735896468,44.855648247641795],[-0.5405817087739705,44.85539346209134],[-0.5390889756381512,44.85496374659411],[-0.5390728823840618,44.85541247597732],[-0.5411435477435589,44.85602471974991],[-0.541391735896468,44.855648247641795]]]},""properties"":null}]}"
202103-SR-40-00444;497285;Backlog, Creation;ENEDIS;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;11/01/2022;11/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;20IAQ-A007;;Morcens;652 000;111+742 (PN 3);OC 337;Electricité ?;No;444;
202103-SR-40-00445;497268;Backlog, Creation;ENEDIS;DIT nouvelle Aquitaine;nouvelle Aquitaine;11/01/2022;11/01/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;20IAQ-A008;;"Morcenx
";655 000;104+601;0E 0009;Electricité ?;No;445;
202103-PO-59-00448;;Backlog, Creation;Métropole Européenne de Lille;DIT Nord Hauts de France;Hauts de France;24/04/2023;23/04/2043;1 000,00 €;184,32 €;Oui;007516X;Réseau;COT Active;;20-A033;;HALLENNES-LEZ-HAUBOURDIN;292 000;012+600 PN 17;A 116;Télécom ??;No;448;
202103-SR-52-00455;596217;Backlog, Creation;;DIT Grand  Est ;Grand Est;23/01/2023;22/01/2043;1 000,00 €;100,34 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;Chateauvillain;840 000;011+100;XA 46;Eau ??;No;455;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.43848467990756035,43.32658254943527],[-0.4390854947268963,43.326153287219455],[-0.4380340687930584,43.325474266247426],[-0.43728841468691826,43.32596987425683],[-0.43848467990756035,43.32658254943527]]]},""properties"":null}]}"
202103-SR-22-00501;501266;Avenant admin,, Backlog;Syndicat Mixte de portage du SAGE Rance Frémur baie de Beaussais (EPTB);DIT OUEST Bretagne Pays de la Loire;Bretagne;17/11/2021;17/11/2041;1 257,30 €;172,26 €;Non;;Réseau;COT Active;;13-B351 / 19-A427;;SAINT-SAMSON-SUR-RANCE;415000;159+281;A 765;Eau ??;No;501;
202103-PO-32-00505;;Backlog, Creation;Syndicat Mixte du Gers Numerique ;DIT Grand Sud;Occitanie;04/06/2021;03/06/2041;1 000,00 €;71,22 €;Non;;POC;COT Active;Réintégré Plateforme;20-A030T;;EAUZE;643 000;entre 190+900 et 191+500;AT 19;Télécom ??;No;505;
202110-SR-57-00509;519954;Création Plateforme;Réséda;DIT Grand Est;Grand Est;28/06/2022;28/06/2042;1 604,41 €;2,43 €;Oui;007974Y;Réseau;COT Active;;;;Moulins-lès-Metz;089000;348+600;18-30 et 18-29;Electricité ?;No;509;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.121178933592517,49.08861509248018],[6.121209546323192,49.08857484224532],[6.1210866244354,49.088534746193545],[6.120358637360851,49.08949191019556],[6.120328024630176,49.089532159686996],[6.120450946517968,49.0895722549333],[6.121178933592517,49.08861509248018]]]},""properties"":null}]}"
202103-SR-45-00515;497191;Création;SICAP Pithiviers;DIT OUEST Centre Val de Loire;Centre Val de Loire;24/11/2021;24/11/2041;1 604,41 €;1,20 €;Non;;Réseau;COT Active;Réintégré Plateforme;20-A22;;Escrennes;683000-1;PK 151+400 à 151+500;D 1331;Electricité ?;No;515;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.9017974790185689,44.006119898118044],[-0.9019905980676411,44.00584980660918],[-0.9014622028917073,44.005720548094814],[-0.9013012703508139,44.00603115390081],[-0.9017974790185689,44.006119898118044]]]},""properties"":null}]}"
202103-SR-81-00516;???;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;13/12/2022;12/12/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;19-A608T;;MILHARS;718000;311+150 225;A 895 A 885;Electricité ?;No;516;
202103-SR-59-00517;520088;Backlog, Creation;GRT Gaz;DIT NORD Hauts de France;Haut De France;26/04/2022;26/04/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;20-A046 (17-A433);;FEIGNIES;247000-1;PK 229+271;BN 188 et 187;Gaz ?;No;517;
202104-SR-33-00526;515227;Backlog, Creation;RTE;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;09/05/2022;09/05/2042;38,11 €;0,00 €;Oui;003873R;Réseau;COT Active;Réintégré Plateforme;16-A848;;BASSENS;583 000;Du 574+707 au 575+478; AO 59 - AD 401 - AN 252;Electricité ?;No;526;
202104-SR-33-00527;506231;Backlog, Creation;RTE;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;09/03/2022;09/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A815;;BIGANOS;655 000;039+773;AH 196;Electricité ?;No;527;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.09225583635270594,43.65726366619535],[-0.09260988794267178,43.65698616967006],[-0.09204125963151454,43.65655536832767],[-0.09162551723420619,43.65680763975908],[-0.09225583635270594,43.65726366619535]]]},""properties"":null}]}"
202104-SR-68-00528;497567;Backlog, Creation;GRDF;DIT grand Est;Grand Est;11/01/2022;11/01/2042;38,11 €;0,00 €;Oui;001345G;Réseau;COT Active;Réintégré Plateforme;;;Oberhergheim;121 000;014+600 (PN 29);28 119;Gaz ?;No;528;
202104-SR-24-00529;500544;Backlog, Creation;Commune de Neuvic sur l'isle;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;30/11/2021;30/11/2041;1 000,00 €;95,56 €;Oui;003705N;Réseau;COT Active;Réintégré Plateforme;20IAQ-A011;;Neuvic sur l’Isle;621 000;050+800;AB 4;Eau ??;No;529;
202104-64-SR-00532;523123;Backlog, Creation;Communauté d’Agglomération Pau Béarn Pyrénées (CAPBP);DIT Nouvelle Aquitaine;Nouvelle Aquitaine;16/12/2021;16/12/2041;1 000,00 €;323,24 €;Non;;Réseau;COT Active;Réintégré Plateforme;20IAQ-A002;;BILLERE;650000-1;PK 218+520;AK 832;Gaz ?;No;532;
