IDCOT;IMMOSIS;TYPE_DOSSIER;OCCUPANT;DIT;REGION;DATE_DEBUT_COT;DATE_FIN_COT;FRAIS_DOSSIER;REDEVANCE;EN_SITE;UT;PROCESS;PHASE_ACTUELLE;REINT_PLATEFORME;ANCIENNE_NUM;NUM_AFFAIRE;COMMUNE;LIGNE;PK;PARCELLE_FERROVIERE;TYPE_RESEAU;DSP_CONCESSION;ID_COT;GEO
202104-SR-24-00536;506271;Backlog, Creation;ENEDIS;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;07/03/2022;07/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;19-A278;;Chancelade;611 000;496+562;AR 324;Electricité ?;No;536;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[1.6060505993664267,50.06516625857046],[1.6061042435467245,50.064715157249395],[1.6099451668560505,50.06503540518895],[1.6097788698971274,50.06551060786862],[1.6060505993664267,50.06516625857046]]]},""properties"":null}]}"
202104-PO-78-00601;519968;Backlog, Creation;Orange;DIT Ile de France;Ile de France;18/05/2022;18/05/2042;1 000,00 €;1 893,84 €;Oui;005181T;POC;COT Active;Réintégré Plateforme;18-A668;;Saint Germain En Laye;338 000;entre 019+970 et 020+070;0A 1428 et 0A 1090;Télécom ??;No;601;
202104-SR-60-00603;493773;Renouvellement;Saverglass;DIT Nord Hauts de France;Haut De France;14/02/2022;14/02/2042;1 257,30 €;1,22 €;Non;;Réseau;COT Active;;15-A600;;Feuquieres;325000;118+923;0A 1805;Electricité ?;No;603;
202104-SR-40-00665;;Backlog, Creation;ENEDIS;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;13/03/2023;12/03/2043;38,11 €;0,00 €;Oui;004186J;Réseau;COT Active;Réintégré Plateforme;18-A737;;Rivière-Saas-Et-Gourby;655 000;157+178 (PN 98);OF 221;Electricité ?;No;665;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[1.5908907540142536,43.46780865047111],[1.5905045159161093,43.46738817418316],[1.5943776257336142,43.46567898582987],[1.5949247963726523,43.46625910301222],[1.591062415391207,43.46798774133515],[1.5908907540142536,43.46780865047111]]]},""properties"":null}]}"
202104-SR-24-00666;465273;Backlog, Creation;Syndicat Mixte des Eaux de la Dordogne;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;04/11/2021;04/11/2041;1 000,00 €;72,36 €;Oui;107539B;Réseau;COT Active;Réintégré Plateforme;19-A229;;Saint-Pierre-De-Frugie;611 000;442+740 (PN 252);D 62 et C 1003;Eau ??;No;666;
202105-SR-51-00672;566188;Backlog, Creation;Communauté Urbain du Grand Reims;DIT Grand Est;Grand Est;26/10/2022;25/10/2042;1 000,00 €;35,58 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A629;;Reims;005 315;001+270;HI 218;Eau ??;No;672;
202105-SR-02-00673;;Backlog, Creation;;;;03/03/2023;02/03/2043;38,11 €;0,00 €;;;Réseau;COT Active;Réintégré Plateforme;18-A143;;Château-Thierry;005 000;sans objet;ZL 71 et 95;Electricité ?;No;673;
202105-SR-51-00674;522852;Backlog, Creation;Syndicat intercommunal d’Energie de la Marne (SIEM51);DIT Grand EST ;Grand Est;26/02/2019;25/02/2039;1 000,00 €;1,11 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A808;;Puisieulx;005 000;Entre 122+382 au 122+515;ZC 30;Electricité ?;No;674;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.3843664675951004,44.89899100477311],[2.3843879252672195,44.89765342523239],[2.3889154940843578,44.89722782521693],[2.3888511210680003,44.89864141312387],[2.3843664675951004,44.89899100477311]]]},""properties"":null}]}"
202105-SR-51-00675;522850;Backlog, Creation;SIEM 51;DIT Grand Est;Grand Est;22/02/2019;21/02/2039;1 000,00 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A652;;Val De Vesle;005 000;129+782 au 129+819;OX 131 -133;Electricité ?;No;675;
202105-PO-02-00676;564155;Backlog, Creation;Orange;DIT Nord Hauts de France;Hauts de France;19/08/2022;17/08/2042;1 000,00 €;1 584,73 €;Non;;POC;COT Active;Réintégré Plateforme;19-A228;;Château-Thierry;005 000;entre 063+565 et 063+673;ZL 70 -71-74 ET ZM 99-109-172;Télécom ??;No;676;
202105-PO-02-00678;;Backlog, Creation;Orange;DIT NORD Hauts de France;Hauts de France;19/08/2022;18/08/2042;1 000,00 €;1 123,61 €;Non;;POC;COT Active;;19-A227;;Verdilly ;005 000;entre 64+317 au 64+660;ZA 29-91-85-90-88-25;Télécom ??;No;678;
202105-SR-54-00679;522427;Backlog, Creation;ENEDIS;DIT Grand Est;Grand Est;23/03/2022;23/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;19-A355;;Thiaucourt Regnieville;005 000;entre 257+824 au 258+098;ZE 106;Electricité ?;No;679;
202105-SR-64-00682;;Backlog, Creation;ENEDIS;;;;;38,11 €;0,00 €;;;Réseau;COT Active;Réintégré Plateforme;19-A243;;Urrugne;655 000;225+058 (PN 142);AT 22;Electricité ?;No;682;
202105-PO-40-00683;515587;Backlog, Creation;SYDEC 40;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;12/01/2022;12/01/2042;1 000,00 €;57,52 €;Non;;POC;COT Active;Réintégré Plateforme;19-A263;;Morcenx; 652 0000;111+738 (PN 3-2);C 337;Télécom ??;No;683;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[0.9538263827562332,47.76930106829465],[0.9551782160997392,47.76785884078856],[0.959920361638069,47.769589508996745],[0.9626240283250809,47.77312277777176],[0.9605640918016433,47.77372845688697],[0.95790334045887,47.77091631562217],[0.9538263827562332,47.76930106829465]]]},""properties"":null}]}"
202105-SR-64-00690;509442;Backlog, Creation;ENEDIS;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;07/11/2019;07/11/2039;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A655;ENEDIS;Saint Jean Pied de Fort;660 000;249+100 (PN 48);A 1589;Electricité ?;No;690;
202105-SR-01-00692;???;Backlog, Creation;Régie des Eaux gessiennes;DIT Auvergnes Rhone Alpes Bourgogne Franches Comté;Auvergnes Rhone Alpes;22/11/2021;22/11/2041;1 000,00 €;88,70 €;Non;;Réseau;COT Active;Réintégré Plateforme;12-B439;;DIVONNE-LES-BAINS;891 000;178+896 (PN 49);entre AV 100 et AV 103;Eau ??;No;692;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[3.2198259606957427,46.97001836185015],[3.2204160466790195,46.97061137199921],[3.223945833742618,46.96819536355255],[3.222980238497257,46.967536433217674],[3.219675756990909,46.96987925975205],[3.2198259606957427,46.97001836185015]]]},""properties"":null}]}"
202105-SR-01-00693;???;Backlog, Creation;La Régie des Eaux Gessiennes (REOGES);DIT Auvergnes Rhone Alpes Bourgogne Franches Comté;Auvergnes Rhone Alpes;22/11/2021;22/11/2041;1 000,00 €;171,86 €;Oui;005390U;Réseau;COT Active;Réintégré Plateforme;19-A081;;CHEVRY;891 000;165+379 (PN 32);B 885;Eau ??;No;693;
202105-SR-40-00694;502291;Backlog, Creation;SYDEC;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;10/12/2021;10/12/2041;1 000,00 €;80,07 €;Oui;107600Z;Réseau;COT Active;;18-A679;;MORCENX; 655000-1;PK 111+746 (PN 66);G 322 - G 232;Eau ??, Télécom ??;No;694;
202105-SR-48-00700;555657;Création;RTE;DIT Grand Sud;Languedoc Roussillon;29/08/2022;28/08/2042;38,11 €;0,00 €;Oui;UT 006599V, T 001;Réseau;COT Active;Réintégré Plateforme;;;BOURGS SUR COLAGNE;722 000;PK entre 614+900 et 615+100;B 1395;Electricité ?;No;700;
202105-SR-45-00701;506265;Création;ENEDIS;DIT OUEST Centre Val de Loire;Centre Val de Loire;07/03/2022;07/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;;DA28/034174;POILLY LEZ GIEN;685 000;PK 005+800;AO 210;Electricité ?;No;701;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.5152800604701038,46.35749866559627],[2.516819648444652,46.35778744331009],[2.517801336944103,46.35568451428114],[2.516299299895763,46.35534759383427],[2.5152800604701038,46.35749866559627]]]},""properties"":null}]}"
202105-SR-05-00705;506341;Backlog, Creation;ENEDIS;DIT Grand Sud;PACA;03/03/2022;03/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A613;DC25/014617;SAINT-JULIEN-EN-BEAUCHÊNE;905 000;PK 216+600;ZE 28;Electricité ?;No;705;
202105-SR-26-00742;566650;Création;Enedis;DIT Auvergne Rhone Alpes BFC;Auvergne Rhône Alpes;01/10/2022;30/09/2042;38,11 €;16 800,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;Montélier;752000;entre 500+000  et 500+100;YL 34 et YK 106;Electricité ?;No;742;
202105-SR-25-00749;502345;Création;Communauté de Communes du Grand Pontarlier;DIT Auvergne Rhône Alpes Bourgogne Franche Comté;Bourgogne Franche Comté;25/10/2021;25/10/2041;1 604,41 €;205,46 €;Oui;005993R;Réseau;COT Active;Réintégré Plateforme;;;Pontarlier;875000-1;PK 452+700 à 452+800;AR 203;Eau ??;No;749;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[3.3605371601879597,46.44518723549564],[3.3615510351955895,46.445083737804964],[3.3611594326794147,46.44383435731089],[3.3601992018520837,46.44390828594834],[3.3605371601879597,46.44518723549564]]]},""properties"":null}]}"
202105-SR-80-00773;465209;Backlog, Creation;Enertrag Santerre IV;DIT NORD Hauts de France;Haut de France;09/11/2021;09/11/2041;1 000,00 €;65,02 €;Non;;Réseau;COT Active;Réintégré Plateforme;20-A017;;FRESNOY-LÈS-ROYE;259 000 (2);123+078;ZC 21;Electricité ?, Télécom ??;No;773;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.0911541480853084,48.99566766698371],[2.091370967870722,48.99587045855421],[2.0915781860729536,48.99606426810337],[2.0909873991901526,48.99633618304688],[2.090528057693562,48.99590655365631],[2.0904761024789886,48.99583469419383],[2.090331266497877,48.99549680420213],[2.0902335788187423,48.99526890590536],[2.0909282603183525,48.995140713278346],[2.0911541480853084,48.99566766698371]]]},""properties"":null}]}"
202105-SR-80-00774;465201;Backlog, Creation;Enertrag Santerre V;DIT NORD Hauts de France;Haut De France;09/11/2021;09/11/2041;1 000,00 €;65,02 €;Non;;Réseau;COT Active;Réintégré Plateforme;20-A018;;FRESNOY-LÈS-ROYE;259 000 (2);123+078 (PN 80);ZC 21;Electricité ?, Télécom ??;No;774;
202105-SR-80-00780;519737;Backlog, Creation;ENEDIS;DIT NORD Hauts de France;Haut de France;17/03/2022;17/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;20-A020;;FRESNES-MAZANCOURT;259000-2;PK 138+810;ZL 11;Electricité ?;No;780;
202105-SR-33-00782;;Création;PLAINE DE GARONNE ENERGIES;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;08/07/2022;07/07/2042;1 604,41 €;573,72 €;Oui;003888M;Réseau;COT Active;Réintégré Plateforme;;;BORDEAUX;570000 (3);du 581+602 au 581+680;AR 20;Eau ??, Télécom ??;No;782;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[3.719631303101777,43.41794236536845],[3.721830714493989,43.41836708192602],[3.722259867936372,43.41749816321271],[3.7197278626263137,43.417014992255645],[3.719631303101777,43.41794236536845]]]},""properties"":null}]}"
202105-SR-43-00791;???;Création;Commune de St Georges d’Aurac;DIT Auvergne Rhône Alpes Bourgogne Franche Comté;Auvergne Rhône Alpes;23/05/2022;23/05/2042;1 604,41 €;38,78 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;SAINT GEORGES D’AURAC;798 000;005+367 (PRA);C 685;Eau ??;No;791;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.5214507691562177,44.72802337569664],[-0.5209626071155071,44.72761938925527],[-0.5193961970508099,44.728667461451835],[-0.5199862830340863,44.72915528494289],[-0.521541964262724,44.728076732185514],[-0.5214507691562177,44.72802337569664]]]},""properties"":null}]}"
202106-SR-15-00806;566661;Backlog, Creation;DREAL Auvergne Rhône-Alpes;DIT Auvergne Rhône Alpes Franche Comté;Auvergne-Rhône-Alpes;17/10/2022;16/10/2042;1 000,00 €;233,93 €;Non;;Réseau;COT Active;Réintégré Plateforme;16-A236;;YTRAC;720 000;entre 297+400 à 297+700  ;AB 20;Eau ??;No;806;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.251204837113618,46.19565108326205],[5.251617897301911,46.19538372938979],[5.253323782235383,46.19579961262903],[5.252996552735566,46.19613380223694],[5.251204837113618,46.19565108326205]]]},""properties"":null}]}"
202106-SR-48-00820;506343;Création;ENEDIS;Grand Sud;Occitanie;15/03/2022;15/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;Prévenchères;790000-1;PK 613+611;A 642;Electricité ?;No;820;
202106-SR-48-00854;502590;Avenant admin,;Alliance Très Haut Débit;DIT Grand Sud;Occitanie;18/11/2018;18/11/2038;1 257,30 €;58,30 €;Non;;Réseau;COT Active;;12-A026;;Chanac;723000;624+458;A 333;Télécom ??;No;854;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[0.37847310304641724,43.00458043692424],[0.3790149092674256,43.00458043692424],[0.3790631890296936,43.00281506403678],[0.37832826375961304,43.002791525388915],[0.37847310304641724,43.00458043692424]]]},""properties"":null}]}"
202106-SR-48-00855;502587;Avenant admin,;Alliance Très Haut Débit;DIT Grand Sud;Occitanie;18/11/2018;18/11/2038;1 257,30 €;218,64 €;Non;;Réseau;COT Active;;12-A125;;Badaroux;723000;653+063;AI 27;Télécom ??;No;855;
202106-SR-48-00856;502455;Avenant admin,;Alliance Très Haut Débit;DIT Grand Sud;Occitanie;18/11/2018;18/11/2038;1 257,30 €;97,17 €;Non;;Réseau;COT Active;;13-A752;;Saint-Chely-d’Apcher;722000;651+806 (PN117);ZR 47;Télécom ??;No;856;
202106-SR-12-00857;503593;Avenant admin,;Alliance Très Haut Débit;DIT Grand Sud;Occitanie;18/11/2018;18/11/2038;1 257,30 €;48,59 €;Oui;005676Y;Réseau;COT Active;;15-A122;; Saint Georges de Luzencon;722000;538+180;AB 416;Télécom ??;No;857;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.296365022659301,48.711339186044114],[5.297631025314331,48.71131086821856],[5.297352075576782,48.708025892303084],[5.296279191970825,48.70816749051522],[5.296365022659301,48.711339186044114]]]},""properties"":null}]}"
202106-SR-24-00874;562963;Backlog, Creation;SMDE 24;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;13/10/2021;12/10/2041;1 000,00 €;56,37 €;Oui;003670A;Réseau;COT Active;Réintégré Plateforme;16-A485;;CHALAIS;611 000 ;453+22 (PN 262);AH 409;Eau ??;No;874;
202106-SR-47-00900;520075;Backlog, Creation;Syndicat des eaux de la lémance;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;03/12/2021;03/12/2041;1 000,00 €;31,01 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A064;;SAUVETERRE-LA-LÉMANCE;631000-1;PK 591+743 (PN 346);A 623;Eau ??;No;900;
202106-SR-40-00910;502298;Backlog, Creation;SYDEC;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;31/01/2022;31/01/2042;1 000,00 €;115,37 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A602;;HABAS;650 000 (1);274+023 (PN 305);0D 483;Eau ??;No;910;
202106-SR-64-00916;502233;Backlog, Creation;COMMUNAUTÉ D'AGGLO PAYS BASQUE;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;03/12/2021;03/12/2041;1 000,00 €;304,17 €;Oui;004580S;Réseau;COT Active;Réintégré Plateforme;18-A811;;BAYONNE;655000-1;PK 196+700;BK 14;Eau ??, Télécom ??;No;916;
202106-SR-32-00924;;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;06/03/2020;05/03/2040;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;19-A184;;Barcelone-du-Gers;652 000;181+416;AC 0027;Electricité ?;No;924;
202106-SR-40-00925;;Backlog, Creation;ENEDIS;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;13/03/2023;12/03/2043;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;19-A191;;Saint-Geours-De-Maremne;655 000;163+841 (PN 104);BT 0024;Electricité ?;No;925;
202106-SR-40-00926;504610;Backlog, Creation;ENEDIS;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;07/03/2022;07/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;19-A216;;Rion des Landes;655 000;118+730 (PN 70);0B 0889;Electricité ?;No;926;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[-1.511719822883606,47.24229116142544],[-1.5111082792282107,47.24212363371802],[-1.5116339921951294,47.24084894902913],[-1.5123313665390015,47.24100919678975],[-1.511719822883606,47.24229116142544]]]},""properties"":null}]}"
202106-SR-32-00940;???;Backlog, Creation;Commune de Riscle;DIT Grand Sud ;Occitanie;25/11/2021;25/11/2041;1 000,00 €;119,81 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A339 ;;Riscle;652 000;193+870;AI 213 non ferroviaire;Eau ??;No;940;
202106-SR-57-01016;519721;Création;Réséda;DIT Grand Est;Grand Est;28/06/2022;28/06/2042;1 604,41 €;4,81 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;Montigny les Metz;099000;004+500;"33 345 ; 43 365 ; 43 301 ; 43 33";Electricité ?;No;1016;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[-0.4012677725404501,43.30198873951403],[-0.40107465349137783,43.30216051305382],[-0.3995806630700827,43.301258696555436],[-0.39974427781999117,43.3010791124521],[-0.4012677725404501,43.30198873951403]]]},""properties"":null}]}"
202106-SR-31-01053;594150;Avenant admin,;Toulouse Métropole;DIT Grand Sud;Occitanie;20/10/2014;19/10/2034;1 257,30 €;41,02 €;Non;;Réseau;COT Active;;13-A543;;Brax;648000;26+108 (PN34);AC 103;Télécom ??;No;1053;
202106-SR-31-01054;594146;Avenant admin,;Toulouse Métropole;DIT Grand Sud;Occitanie;20/10/2014;19/10/2034;1 257,30 €;43,95 €;Non;;Réseau;COT Active;;13-A545;;PIBRAC;648000;22+745 (PN29);AM 401;Télécom ??;No;1054;
202106-SR-31-01055;594143;Avenant admin,;Toulouse Métropole;DIT Grand Sud;Occitanie;30/03/2015;29/03/2035;1 257,30 €;48,99 €;Non;;Réseau;COT Active;;17-A591;;Toulouse;648000;11+306;BE 002;Télécom ??;No;1055;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.8168961405754085,44.3809791567362],[2.8166761994361877,44.38076828768112],[2.8176632523536678,44.3801778502864],[2.817877829074859,44.38046540170944],[2.8168961405754085,44.3809791567362]]]},""properties"":null}]}"
202106-SR-31-01056;594134;Avenant admin,;Toulouse Métropole;DIT Grand Sud;Occitanie;30/03/2015;29/03/2035;1 257,30 €;0,81 €;Oui;;Réseau;COT Active;;17-A595;;Toulouse;650000;6+967 (PN5);BN 001;Télécom ??;No;1056;
202110-SR-76-01058;504702;Création Plateforme;Caux Seine agglo;DIT HdF Normandie;Normandie;30/05/2022;30/05/2042;1 604,41 €;1 357,27 €;Non;;Réseau;COT Active;;;;Rives en seine;351000;de 181+500 à 181+700;659-AK-309;Eau ??;No;1058;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[0.7838970422744752,49.505739439795434],[0.7841330766677856,49.50581607678353],[0.7862788438796997,49.503572653456246],[0.7860642671585083,49.50344027433172],[0.7838970422744752,49.505739439795434]]]},""properties"":null}]}"
202106-SR-09-01058;517612 / 514548;Backlog, Creation;TEREGA;DIT Grand Sud ;Occitanie;01/06/2021;01/06/2041;1 000,00 €;28,37 €;Oui;018734T;Réseau;COT Active;Réintégré Plateforme;19-A623;;Foix ;672000-1;PK 081+140;A 3871 - B 1318;Gaz ?;No;1058;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[0.7838970422744752,49.505739439795434],[0.7841330766677856,49.50581607678353],[0.7862788438796997,49.503572653456246],[0.7860642671585083,49.50344027433172],[0.7838970422744752,49.505739439795434]]]},""properties"":null}]}"
202106-PO-71-01059;593742;Création;Département de la Saone-et-Loire;DIT Auvergne Rhone Alpes BFC;Bourgogne-Franche-Comté;02/12/2022;01/12/2042;1 604,41 €;42,11 €;Non;;POC;COT Active;Réintégré Plateforme;;;Cluny;752000;sans objet;ZA 27;Télécom ??;No;1059;
202106-PO-71-01061;593747;Création;Département de la Saone-et-Loire;DIT Auvergne Rhone Alpes BFC;Bourgogne-Franche-Comté;02/12/2022;01/12/2042;1 604,41 €;74,50 €;Non;;POC;COT Active;Réintégré Plateforme;;;Jalogny;752000;316+400 (sans objet);B 204 et B 236;Télécom ??;No;1061;
